TrialStartTime,TrialNumber,Stage,Gravity,Target,ExpectedAnswer,LeftPosX,LeftPosY,RightPosX,RightPosY,LeftVelX,LeftVelY,RightVelX,RightVelY,LeftScale,RightScale,UserAnswer,AnswerTime,ConfidenceRating,ConfidenceTime,TotalTrialTime,OcclusionStartTimeMs,OcclusionHiddenDurationMs,FirstBoundaryType,TrueLandingX,TrueLandingY,FalseLandingX,FalseLandingY
2026-05-21 10:05:49.016,15,3,1,0,1,-5,6,5,6,8,3,-8,3,0.9,1,0,966.5195,6,799.5293,5099.904,1633.443,583.5571,Horizontal,-2.222815,2.594525,-6.222815,2.594525
2026-05-21 10:05:57.149,16,3,1,0,1,-5,6,5,6,8,4,-8,4,1,0.8,1,1083.138,5,499.6611,5049.942,1600.022,733.5815,Horizontal,0.7488211,2.604041,4.748821,2.604041
2026-05-21 10:06:03.266,17,3,1,1,0,-5,6,5,6,8,2.5,-8,2.5,1,0.9,0,1649.949,6,882.9785,5699.916,1633.51,516.571,Horizontal,2.036533,2.537301,6.036533,2.537301
2026-05-21 10:06:10.016,18,3,1,1,1,-5,6,5,6,8,2.5,-8,2.5,1,1,0,2266.497,6,883.0698,6349.976,1616.822,533.3862,Horizontal,1.224003,2.537301,5.224003,2.537301
2026-05-21 10:06:17.416,19,3,1,1,0,-5,6,5,6,8,4.5,-8,4.5,0.8,0.9,0,1049.675,6,483.1809,5083.337,1633.264,817.0471,Horizontal,0.295514,2.548866,-3.704486,2.548866
2026-05-21 10:06:23.565,20,3,1,1,1,-5,6,5,6,8,2.5,-8,2.5,0.9,0.9,1,1532.865,6,349.8374,5100.056,1616.749,516.9373,Horizontal,1.224003,2.537301,-2.775997,2.537301
2026-05-21 10:06:29.732,21,3,1,0,0,-5,6,5,6,8,2.5,-8,2.5,0.8,0.8,0,549.4319,6,366.2712,4249.99,1599.966,533.8745,Horizontal,-1.224003,2.537301,2.775997,2.537301
2026-05-21 10:06:35.049,22,3,1,0,0,-5,6,5,6,8,2.5,-8,2.5,0.8,0.9,0,1216.77,6,266.3535,4733.322,1633.438,516.7236,Horizontal,-2.130471,2.537301,1.869529,2.537301
2026-05-21 10:06:40.849,23,3,1,0,0,-5,6,5,6,8,4,-8,4,1,1,0,682.8567,6,466.6755,4550.02,1633.332,717.0715,Horizontal,-1.544002,2.604041,2.455998,2.604041
2026-05-21 10:06:46.466,24,3,1,0,1,-5,6,5,6,8,4,-8,4,0.9,0.8,1,1216.284,6,483.0935,5116.469,1616.774,716.7969,Horizontal,-0.3018056,2.604041,3.698195,2.604041
