representation,condition,dyad,n,auc_slope,robust_se,p_value,r_squared,p_fdr
event,gravity,ball->ball,257,0.033519452150657325,0.04323624022224686,0.4381843384138303,0.0022076988686519083,0.6009684458957532
event,gravity,ball->position,257,-0.007789604686121039,0.014443612975363234,0.5896720254786463,0.0010062036354708814,0.6009684458957532
event,gravity,position->ball,257,-0.007463034747034974,0.014269437220242792,0.6009684458957532,0.0009352949709816594,0.6009684458957532
event,gravity,position->position,257,-0.01826681271750149,0.02103106064399184,0.3850858979492675,0.0032058141059375656,0.6009684458957532
event,zero_gravity,ball->ball,242,0.15125475876660754,0.07803613578355276,0.05259082509731769,0.013841826413766634,0.07012110012975692
event,zero_gravity,ball->position,242,-0.051891591636247916,0.02077759358135078,0.012508007715819417,0.02259422465046068,0.027036230586954115
event,zero_gravity,position->ball,242,-0.05128284288008203,0.020763799937581682,0.013518115293477058,0.022144204982808002,0.027036230586954115
event,zero_gravity,position->position,242,-0.048080324250277404,0.050116676129616344,0.33737350135719923,0.003470932200939747,0.33737350135719923
duration,gravity,ball_LONG->ball_LONG,257,0.0009362656356252393,0.018250543165029495,0.9590859105013544,8.587857500130802e-06,0.9590859105013544
duration,gravity,ball_LONG->ball_MED,257,0.0011382705020784323,0.013254744889627567,0.9315646285992639,3.019422273375927e-05,0.9590859105013544
duration,gravity,ball_LONG->position_LONG,257,0.004364036000604606,0.006981859939392711,0.5319359446169429,0.0011905014451222273,0.8753023072151549
duration,gravity,ball_LONG->position_MED,257,-0.004111758524692636,0.006033116562412263,0.4955352897626498,0.0016648615411987144,0.8753023072151549
duration,gravity,ball_MED->ball_LONG,257,0.0014000708951630442,0.012214058195782111,0.9087401258779082,5.733891054848783e-05,0.9590859105013544
duration,gravity,ball_MED->ball_MED,257,0.030044845117790472,0.015255273611066976,0.04889883295489442,0.01229119045361915,0.39119066363915533
duration,gravity,ball_MED->position_LONG,257,0.0034917680488211144,0.00476597984566513,0.4637753940359942,0.0020211485952281727,0.8753023072151549
duration,gravity,ball_MED->position_MED,257,-0.011533650210854118,0.004919629100317825,0.01905697501653326,0.021619334618597663,0.3049116002645322
duration,gravity,position_LONG->ball_LONG,257,0.0036533596013409685,0.006181244981185955,0.5544939920959409,0.0013829944193523014,0.8753023072151549
duration,gravity,position_LONG->ball_MED,257,0.0012523507722108282,0.005050379981753803,0.8041563855438827,0.00020631344945054586,0.9590859105013544
duration,gravity,position_LONG->position_LONG,257,0.002212766417774669,0.006270953090722489,0.7241936495396606,0.000538712190032542,0.9590859105013544
duration,gravity,position_LONG->position_MED,257,-0.0030386551285382425,0.00582278053496935,0.601770336210419,0.0012733520724390601,0.8753023072151549
duration,gravity,position_MED->ball_LONG,257,-0.005081658151502265,0.005999416036955217,0.39698092839062205,0.0029014896219812236,0.8753023072151549
duration,gravity,position_MED->ball_MED,257,-0.007287086969084491,0.00558652157937281,0.19209551372090128,0.006700713420752735,0.7212802079905327
duration,gravity,position_MED->position_LONG,257,-0.006209646270355413,0.005122230265007088,0.22540006499704146,0.004745046569578415,0.7212802079905327
duration,gravity,position_MED->position_MED,257,-0.011231277736382519,0.007308108469527642,0.1243363728053948,0.011390954189077096,0.6631273216287722
duration,zero_gravity,ball_LONG->ball_LONG,242,0.027845455301501305,0.02689669481683347,0.30054085616760706,0.003758618693841753,0.4517395761205054
duration,zero_gravity,ball_LONG->ball_MED,242,0.03005526645673282,0.0219590519172133,0.17109432213164955,0.0072016201678234415,0.39107273630091327
duration,zero_gravity,ball_LONG->position_LONG,242,0.0037249273605116477,0.010935278257576921,0.733379144992924,0.0005332674566451701,0.733379144992924
duration,zero_gravity,ball_LONG->position_MED,242,-0.0051857870679813,0.008658493220141112,0.5492229751371349,0.001684144443108937,0.6759667386303199
duration,zero_gravity,ball_MED->ball_LONG,242,0.04209849384009265,0.020969273199177296,0.04468286816846669,0.01592133884913094,0.14298517813909342
duration,zero_gravity,ball_MED->ball_MED,242,0.051255543168280425,0.025391817233160016,0.043530364083352015,0.01677305659143491,0.14298517813909342
duration,zero_gravity,ball_MED->position_LONG,242,-0.026765108337747485,0.0074741637947249116,0.00034225925381048373,0.038782809858746714,0.00547614806096774
duration,zero_gravity,ball_MED->position_MED,242,-0.02366562359103078,0.0075368991487221185,0.0016896617967352768,0.03952852862930267,0.013517294373882214
duration,zero_gravity,position_LONG->ball_LONG,242,-0.008205446293198165,0.008327452095465352,0.32445268940595273,0.004032452509135198,0.4517395761205054
duration,zero_gravity,position_LONG->ball_MED,242,-0.016114101974808278,0.00847263214341909,0.057184184428323556,0.009749496175965877,0.1524911584755295
duration,zero_gravity,position_LONG->position_LONG,242,-0.009197194793726734,0.017878751402668452,0.606958086074328,0.0010656260498875803,0.6936663840849463
duration,zero_gravity,position_LONG->position_MED,242,-0.012366836520594995,0.012928857726794332,0.33880468209037906,0.0037033689253174185,0.4517395761205054
duration,zero_gravity,position_MED->ball_LONG,242,-0.0031735013687503697,0.008244047283652231,0.700278471600349,0.0007928874919268525,0.733379144992924
duration,zero_gravity,position_MED->ball_MED,242,-0.023789793243325228,0.008234837377911293,0.003865663853078113,0.03552619127958312,0.02061687388308327
duration,zero_gravity,position_MED->position_LONG,242,-0.01390661679072478,0.01249619135687766,0.2657649428046053,0.00465088202354258,0.4517395761205054
duration,zero_gravity,position_MED->position_MED,242,-0.012609676145230873,0.012872086997817507,0.3272767103045011,0.003433605203740586,0.4517395761205054
