representation,condition,dyad,q1,q3,n_high,n_low,high_mean_rate,low_mean_rate,high_minus_low,permutation_p,welch_t,welch_p,permutation_p_fdr
event,gravity,ball->ball,0.48,0.6605351170568562,64,63,0.7621984752582823,0.7544933782192613,0.007705097039021003,0.6312737452509498,0.46050632877101055,0.6459531513817609,0.7424515096980604
event,gravity,ball->position,0.48,0.6605351170568562,64,63,0.0897612830662877,0.09244411537667789,-0.0026828323103901958,0.6386722655468906,-0.4757252593588332,0.6351004815094115,0.7424515096980604
event,gravity,position->ball,0.48,0.6605351170568562,64,63,0.0898979544462766,0.09245266092288973,-0.0025547064766131278,0.6382723455308938,-0.4556462682020632,0.6494349842359617,0.7424515096980604
event,gravity,position->position,0.48,0.6605351170568562,64,63,0.05814228722915335,0.06060984548117097,-0.0024675582520176167,0.7424515096980604,-0.330579287331515,0.7415157493103504,0.7424515096980604
event,zero_gravity,ball->ball,0.47368421052631576,0.6246141975308642,61,60,0.6716900554545816,0.6255117246057574,0.04617833084882417,0.05438912217556489,1.9225288021017775,0.05693113929109833,0.07251882956741985
event,zero_gravity,ball->position,0.47368421052631576,0.6246141975308642,61,60,0.11160487273976236,0.12476770027390612,-0.013162827534143759,0.036192761447710456,-2.1346235490094796,0.03500108512010003,0.07238552289542091
event,zero_gravity,position->ball,0.47368421052631576,0.6246141975308642,61,60,0.11159614661142546,0.12475427473106492,-0.013158128119639456,0.03199360127974405,-2.1343316658669145,0.03501788590051283,0.07238552289542091
event,zero_gravity,position->position,0.47368421052631576,0.6246141975308642,61,60,0.10510892519423051,0.12496630038927169,-0.019857375195041174,0.22495500899820037,-1.2255359105826735,0.22300570375717158,0.22495500899820037
duration,gravity,ball_LONG->ball_LONG,0.48,0.6605351170568562,64,63,0.1833985388087554,0.18508375031346502,-0.0016852115047096272,0.8122375524895021,-0.2353562110359784,0.8143243347744263,0.9904019196160768
duration,gravity,ball_LONG->ball_MED,0.48,0.6605351170568562,64,63,0.1814451085972255,0.18164601313445172,-0.0002009045372262097,0.9694061187762447,-0.04101917254105733,0.9673460795095137,0.9904019196160768
duration,gravity,ball_LONG->position_LONG,0.48,0.6605351170568562,64,63,0.02894752913831084,0.02833855138383545,0.000608977754475392,0.8300339932013597,0.21634018791947127,0.829109071606206,0.9904019196160768
duration,gravity,ball_LONG->position_MED,0.48,0.6605351170568562,64,63,0.027267027853838513,0.027642671302239623,-0.0003756434484011098,0.8712257548490302,-0.1659459229178684,0.8684706340795288,0.9904019196160768
duration,gravity,ball_MED->ball_LONG,0.48,0.6605351170568562,64,63,0.18821648044589215,0.18926404715184758,-0.0010475667059554328,0.8112377524495101,-0.23607276859556495,0.81376816680119,0.9904019196160768
duration,gravity,ball_MED->ball_MED,0.48,0.6605351170568562,64,63,0.20913834740640924,0.19849956761949702,0.010638779786912217,0.07938412317536493,1.8159074981214471,0.0718022333490574,0.6350729854029195
duration,gravity,ball_MED->position_LONG,0.48,0.6605351170568562,64,63,0.01569477362809246,0.014808335976487853,0.0008864376516046057,0.6142771445710857,0.5000976669195056,0.6179693198720085,0.9904019196160768
duration,gravity,ball_MED->position_MED,0.48,0.6605351170568562,64,63,0.01785195244604589,0.021654556714114977,-0.003802604268069089,0.032993401319736056,-2.1923553407961975,0.030208464789316592,0.5278944211157769
duration,gravity,position_LONG->ball_LONG,0.48,0.6605351170568562,64,63,0.02529826029214765,0.023264172830200543,0.002034087461947106,0.34973005398920215,0.928326269053296,0.35502835023236523,0.9904019196160768
duration,gravity,position_LONG->ball_MED,0.48,0.6605351170568562,64,63,0.019889442296232407,0.019832561305581236,5.688099065117094e-05,0.976004799040192,0.029911260428010393,0.9761864100194045,0.9904019196160768
duration,gravity,position_LONG->position_LONG,0.48,0.6605351170568562,64,63,0.012793981182695233,0.011994272229013055,0.000799708953682178,0.6966606678664267,0.38152938536545944,0.7034732816071239,0.9904019196160768
duration,gravity,position_LONG->position_MED,0.48,0.6605351170568562,64,63,0.01393055740169924,0.014447480739617704,-0.0005169233379184648,0.8022395520895821,-0.2519840199851807,0.8014672649958949,0.9904019196160768
duration,gravity,position_MED->ball_LONG,0.48,0.6605351170568562,64,63,0.023893849539540567,0.02528225465513216,-0.0013884051155915941,0.5118976204759048,-0.6674761414521263,0.505713084536297,0.9904019196160768
duration,gravity,position_MED->ball_MED,0.48,0.6605351170568562,64,63,0.020816402318355975,0.0240736721319758,-0.0032572698136198244,0.11977604479104179,-1.576692622431913,0.11750722526069919,0.6388055722188896
duration,gravity,position_MED->position_LONG,0.48,0.6605351170568562,64,63,0.014513441750117838,0.01449294565001715,2.049610010068821e-05,0.9904019196160768,0.010854496580455276,0.9913568561975925,0.9904019196160768
duration,gravity,position_MED->position_MED,0.48,0.6605351170568562,64,63,0.016904306894641036,0.01967514686252306,-0.002770839967882025,0.29454109178164367,-1.0359225400525323,0.3022650205760609,0.9904019196160768
duration,zero_gravity,ball_LONG->ball_LONG,0.47368421052631576,0.6246141975308642,61,60,0.14228672847331733,0.13414357705292237,0.008143151420394956,0.3447310537892421,0.954328324766536,0.3418600280030515,0.421858485445768
duration,zero_gravity,ball_LONG->ball_MED,0.47368421052631576,0.6246141975308642,61,60,0.15748121835763695,0.14920359806409245,0.008277620293544508,0.19376124775044992,1.2949017416802087,0.19786881347860133,0.38752249550089984
duration,zero_gravity,ball_LONG->position_LONG,0.47368421052631576,0.6246141975308642,61,60,0.04332350778064349,0.04039226600096202,0.0029312417796814733,0.369126174765047,0.9044358681596053,0.3678314392658736,0.421858485445768
duration,zero_gravity,ball_LONG->position_MED,0.47368421052631576,0.6246141975308642,61,60,0.029602616403563674,0.03230368077125814,-0.002701064367694468,0.2887422515496901,-1.0809519692661653,0.28214683552663467,0.421858485445768
duration,zero_gravity,ball_MED->ball_LONG,0.47368421052631576,0.6246141975308642,61,60,0.17185123047198256,0.15943097677354118,0.01242025369844138,0.052389522095580884,1.9607094537424823,0.05230904607197429,0.16764647070585884
duration,zero_gravity,ball_MED->ball_MED,0.47368421052631576,0.6246141975308642,61,60,0.20007087815164473,0.18273357271520133,0.017337305436443406,0.028394321135772844,2.197512438060549,0.02994307033715512,0.11357728454309138
duration,zero_gravity,ball_MED->position_LONG,0.47368421052631576,0.6246141975308642,61,60,0.01918445306702862,0.02577236773773317,-0.006587914670704551,0.002999400119976005,-3.070930773514817,0.0026703372593570424,0.021329067519829367
duration,zero_gravity,ball_MED->position_MED,0.47368421052631576,0.6246141975308642,61,60,0.01949429548852658,0.026299385763952788,-0.006805090275426209,0.0023995200959808036,-3.0394468941426616,0.00298262002793021,0.021329067519829367
duration,zero_gravity,position_LONG->ball_LONG,0.47368421052631576,0.6246141975308642,61,60,0.033395007857310734,0.035847111963651236,-0.0024521041063405025,0.354129174165167,-0.9333515910522923,0.3525629991849194,0.421858485445768
duration,zero_gravity,position_LONG->ball_MED,0.47368421052631576,0.6246141975308642,61,60,0.028403290574818954,0.030912532121193794,-0.00250924154637484,0.354129174165167,-0.9430660992370653,0.3475679774798639,0.421858485445768
duration,zero_gravity,position_LONG->position_LONG,0.47368421052631576,0.6246141975308642,61,60,0.03139498765998804,0.03580497370933486,-0.004409986049346816,0.4371125774845031,-0.7660925722054718,0.44521870667063024,0.46625341598347
duration,zero_gravity,position_LONG->position_MED,0.47368421052631576,0.6246141975308642,61,60,0.025474533361391518,0.029682220082453737,-0.004207686721062219,0.3053389322135573,-1.0469580283282096,0.29738109747052305,0.421858485445768
duration,zero_gravity,position_MED->ball_LONG,0.47368421052631576,0.6246141975308642,61,60,0.025256526346013847,0.02626035372405321,-0.0010038273780393625,0.6816636672665467,-0.4234223348049834,0.6727857970530029,0.6816636672665467
duration,zero_gravity,position_MED->ball_MED,0.47368421052631576,0.6246141975308642,61,60,0.024541321833281934,0.03173427692216667,-0.007192955088884734,0.003999200159968006,-3.0088326740793807,0.003209860227366628,0.021329067519829367
duration,zero_gravity,position_MED->position_LONG,0.47368421052631576,0.6246141975308642,61,60,0.02482823165419466,0.030286802608080084,-0.005458570953885425,0.17156568686262746,-1.3483839486545035,0.18026397731231647,0.38752249550089984
duration,zero_gravity,position_MED->position_MED,0.47368421052631576,0.6246141975308642,61,60,0.023411172518656306,0.029192303989402996,-0.00578113147074669,0.1819636072785443,-1.3538170127393605,0.1787444605754261,0.38752249550089984
