"term","estimate","std_error","statistic","p_value","model","odds_ratio","ci_low","ci_high"
"(Intercept)",1.92457341303758,0.0437785168203231,43.9615947003519,0,"eye_fixation_time_ratio_logit_lmm",NA,1.83876752006975,2.01037930600541
"conditionzero_gravity",-0.768196359678245,0.0619121722278796,-12.4078405269121,2.36957799379706e-35,"eye_fixation_time_ratio_logit_lmm",NA,-0.889544217244889,-0.646848502111601
"regionposition",-3.84914682607516,0.0619121722278796,-62.1710834487868,0,"eye_fixation_time_ratio_logit_lmm",NA,-3.9704946836418,-3.72779896850852
"conditionzero_gravity:regionposition",1.53639271935649,0.0875570336406462,17.5473363529216,6.23357249421332e-69,"eye_fixation_time_ratio_logit_lmm",NA,1.36478093342082,1.70800450529216
"(Intercept)",4.76991505320663,0.0282253917160726,168.993759278475,0,"eye_total_fixation_time_log1p_lmm",NA,4.71459328544313,4.82523682097013
"conditionzero_gravity",-0.166174704474246,0.0374575456739608,-4.43634791026272,9.14979271153391e-06,"eye_total_fixation_time_log1p_lmm",NA,-0.239591493995209,-0.0927579149532831
"regionposition",-1.85967245179064,0.0374575456739608,-49.647472046825,0,"eye_total_fixation_time_log1p_lmm",NA,-1.9330892413116,-1.78625566226967
"conditionzero_gravity:regionposition",0.735735645434688,0.052972969105325,13.8888881982779,7.39746566239247e-44,"eye_total_fixation_time_log1p_lmm",NA,0.631908625988251,0.839562664881125
"(Intercept)",5.91520246095105,0.0262929006671628,224.973369649494,0,"eye_fixation_count_log1p_lmm",NA,5.86366837564341,5.96673654625869
"conditionzero_gravity",-0.122569459958453,0.0317657712661475,-3.85853876902633,0.000114066975270713,"eye_fixation_count_log1p_lmm",NA,-0.184830371640102,-0.0603085482768037
"regionposition",-1.81182050653757,0.0317657712661475,-57.0368807153255,0,"eye_fixation_count_log1p_lmm",NA,-1.87408141821922,-1.74955959485592
"conditionzero_gravity:regionposition",0.550228386070712,0.0449235845438274,12.2480962206814,1.71985918133568e-34,"eye_fixation_count_log1p_lmm",NA,0.46217816036481,0.638278611776614
"(Intercept)",0.279909711679246,0.00414258382076794,67.5688709727441,0,"eye_mean_fixation_time_log1p_lmm",NA,0.271790247390541,0.288029175967951
"conditionzero_gravity",-0.0105078573445459,0.00408747406934008,-2.5707459341124,0.0101479744629582,"eye_mean_fixation_time_log1p_lmm",NA,-0.0185193065204525,-0.00249640816863932
"regionposition",-0.0170053528228983,0.00408747406934008,-4.16035735870584,3.1775001961022e-05,"eye_mean_fixation_time_log1p_lmm",NA,-0.0250168019988049,-0.00899390364699176
"conditionzero_gravity:regionposition",0.0516915028540865,0.00578056126470909,8.94229824527046,3.81159257356223e-19,"eye_mean_fixation_time_log1p_lmm",NA,0.0403616027752567,0.0630214029329163
