condition,confidence,accuracy,ci_low,ci_high,n_subjects,n_trials
gravity,1,0.4061453849832616,0.3121135222381635,0.5008145026303203,82,181
gravity,2,0.5249097976732781,0.43732222876524346,0.6189082589580445,72,291
gravity,3,0.5939552478188245,0.521564118071471,0.668298290907272,112,496
gravity,4,0.6271836290532756,0.5794794935145837,0.6762403112113567,178,1335
gravity,5,0.6669452137443549,0.6326518413560807,0.7012524629062235,230,2290
gravity,6,0.6630071945378017,0.6255611644162934,0.6997681571635896,214,2429
gravity,7,0.7121636725786076,0.6810748344100893,0.7414721045163996,242,5179
zero_gravity,1,0.5248129739700758,0.4324714550454328,0.6129496951219512,82,253
zero_gravity,2,0.5018930177796661,0.4143819903618974,0.5925473058164314,86,380
zero_gravity,3,0.5110157250443628,0.44753447892621656,0.5770708176842078,114,616
zero_gravity,4,0.5933035721382908,0.5461963917308768,0.6371124734845345,176,1541
zero_gravity,5,0.611930239911393,0.5763287594626186,0.6458752872307991,220,2318
zero_gravity,6,0.6660926363459632,0.6315362407014231,0.6997453684478259,204,2543
zero_gravity,7,0.6890175133003502,0.6574476672803701,0.7172128919121271,218,4763
