metric,metric_label,region,condition,n,mean,sd,ci95_low,ci95_high
total_fixation_time,Total fixation time,ball,gravity,353,121.19622285182962,29.08749340570473,118.15139421822388,124.24105148543535
total_fixation_time,Total fixation time,ball,zero_gravity,353,106.11987724275205,35.168276735273196,102.43852269959541,109.8012317859087
total_fixation_time,Total fixation time,position,gravity,353,20.956185080278512,12.135105142493984,19.68590320709259,22.226466953464435
total_fixation_time,Total fixation time,position,zero_gravity,353,37.83904627009136,20.278850907600262,35.7162911382252,39.961801401957516
fixation_count,Fixation count,ball,gravity,353,386.5297450424929,106.67108986907027,375.3635993632789,397.69589072170686
fixation_count,Fixation count,ball,zero_gravity,353,347.5779036827195,108.20934187701452,336.25073643680804,358.905070928631
fixation_count,Fixation count,position,gravity,353,68.71954674220963,33.77907985954635,65.183610931631,72.25548255278827
fixation_count,Fixation count,position,zero_gravity,353,108.19830028328612,55.59492596053439,102.37871933532357,114.01788123124867
mean_fixation_time,Mean fixation duration,ball,gravity,353,0.32548741368291545,0.08332313381625936,0.3167652917679432,0.3342095355978877
mean_fixation_time,Mean fixation duration,ball,zero_gravity,353,0.3116893695355817,0.08369604973129663,0.30292821142590554,0.32045052764525783
mean_fixation_time,Mean fixation duration,position,gravity,353,0.3053949301153647,0.11554781240909015,0.293299584433062,0.3174902757976675
mean_fixation_time,Mean fixation duration,position,zero_gravity,353,0.3624944232751552,0.14813053509742907,0.34698837438723235,0.378000472163078
