condition,trial_bin,accuracy,ci_low,ci_high,n
gravity,1,0.6535310734463275,0.6281637092119513,0.6788984376807038,354
gravity,2,0.6900188323917137,0.6672677833434465,0.7127698814399809,354
gravity,3,0.6516949152542373,0.6267873855123106,0.676602444996164,354
gravity,4,0.6998116760828624,0.6739347743393296,0.7256885778263953,354
gravity,5,0.6837099811676083,0.6594555891592552,0.7079643731759614,354
gravity,6,0.6831450094161958,0.6585183952539073,0.7077716235784843,354
zero_gravity,1,0.6470809792843691,0.6224698739939739,0.6716920845747644,354
zero_gravity,2,0.641713747645951,0.6206729124852953,0.6627545828066067,354
zero_gravity,3,0.6324387947269303,0.6069509065246137,0.6579266829292469,354
zero_gravity,4,0.635075329566855,0.6110776532393413,0.6590730058943687,354
zero_gravity,5,0.6434086629001883,0.6217512144749288,0.6650661113254478,354
zero_gravity,6,0.6563559322033898,0.6345219651883135,0.6781898992184662,354
