condition,velocity,accuracy,ci_low,ci_high,n
gravity,2.5,0.6897834274952919,0.6643901695465995,0.7151766854439843,354
gravity,3.0,0.6763182674199623,0.6531016174044884,0.6995349174354362,354
gravity,3.5,0.6830037664783427,0.6577907932051482,0.7082167397515372,354
gravity,4.0,0.6719868173258003,0.6491904840172903,0.6947831506343104,354
gravity,4.5,0.6630885122410546,0.6379160121974492,0.68826101228466,354
gravity,5.0,0.6844161958568739,0.6597074012169155,0.7091249904968322,354
zero_gravity,2.5,0.64924670433145,0.6263689826807985,0.6721244259821015,354
zero_gravity,3.0,0.620291902071563,0.5971112090486832,0.6434725950944429,354
zero_gravity,3.5,0.6945856873822975,0.6724486115155063,0.7167227632490888,354
zero_gravity,4.0,0.6315442561205273,0.6078076155681632,0.6552808966728915,354
zero_gravity,4.5,0.631638418079096,0.6063962234677489,0.6568806126904432,354
zero_gravity,5.0,0.6248116760828626,0.6004327095673995,0.6491906425983257,354
