subject,condition,accuracy,answer_rt_median,answer_rt_mean,confidence_mean,confidence_rt_median,auc,n_valid,n_confidence
202511171004,gravity,0.5142857142857142,1082.843,1142.5304485714285,3.5428571428571427,1016.676,0.5196078431372549,35,35
202511171004,zero_gravity,0.5277777777777778,1133.69,1295.1095333333335,3.25,907.8948,0.45665634674922595,36,36
202511171621,gravity,0.8888888888888888,1000.0818,1223.3395361111113,4.583333333333333,782.7490499999999,0.74609375,36,36
202511171621,zero_gravity,0.8611111111111112,1183.0135,1420.0119083333334,4.416666666666667,824.9060999999999,0.7548387096774194,36,36
202511181005,gravity,0.8857142857142857,683.5308,896.5247028571431,6.628571428571429,449.689,0.7217741935483871,35,35
202511181005,zero_gravity,0.6388888888888888,1083.221,1114.5348388888888,5.694444444444445,625.34105,0.7424749163879598,36,36
202511181030,gravity,0.6470588235294118,1366.586,1448.1171000000002,6.470588235294118,541.0968,0.6496212121212122,34,34
202511181030,zero_gravity,0.6571428571428571,999.0059,1185.5513999999998,6.571428571428571,483.104,0.6648550724637681,35,35
202511181442,gravity,0.9166666666666666,1433.411,1528.7954416666664,5.527777777777778,1183.298,0.5707070707070707,36,36
202511181442,zero_gravity,0.8333333333333334,1524.2215,1579.528675,5.294117647058823,1172.9575,0.5595238095238095,36,34
202511181445,gravity,0.7058823529411765,1133.218,1403.0197970588235,6.705882352941177,1066.4830000000002,0.7,34,34
202511181445,zero_gravity,0.8,1215.813,1435.4532514285718,6.771428571428571,1099.595,0.6964285714285714,35,35
202511181455,gravity,0.6857142857142857,1399.449,1402.4162714285715,6.6,715.2017,0.4734848484848485,35,35
202511181455,zero_gravity,0.4444444444444444,1040.681,1241.4606194444448,6.722222222222222,724.08325,0.35625,36,36
202511181644,gravity,0.6285714285714286,1866.948,1831.1871457142856,5.085714285714285,799.2944,0.6031468531468531,35,35
202511181644,zero_gravity,0.5555555555555556,1333.28,1394.9772944444446,4.916666666666667,1141.1844999999998,0.584375,36,36
202511181645,gravity,0.5,1083.7125,1162.7196647058825,7.0,941.1950999999999,,34,34
202511181645,zero_gravity,0.6285714285714286,1250.125,1376.9992457142857,7.0,632.7438999999999,,35,34
202511190941,gravity,0.8823529411764706,1166.4775,1396.724611764706,6.205882352941177,766.60185,0.6625000000000001,34,34
202511190941,zero_gravity,0.8333333333333334,1348.396,1458.8777388888889,5.25,733.38795,0.5833333333333333,36,36
202511191004,gravity,0.9117647058823529,1282.741,1430.0494647058822,3.8529411764705883,1182.9495000000002,0.8064516129032258,34,34
202511191004,zero_gravity,0.8888888888888888,1707.1480000000001,1696.837975,3.5555555555555554,1182.821,0.84765625,36,36
202511191614,gravity,0.7878787878787878,1683.168,1637.3581636363633,3.5757575757575757,782.5498,0.5027472527472527,33,33
202511191614,zero_gravity,0.6764705882352942,1683.2334999999998,1671.020438235294,3.588235294117647,724.2239,0.5652173913043479,34,34
202511191626,gravity,0.8611111111111112,1432.9769999999999,1575.6556944444444,5.885714285714286,1382.102,0.7966666666666667,36,35
202511191626,zero_gravity,0.8,1849.31,1764.8047428571429,5.2,1466.169,0.46683673469387754,35,35
202511201004,gravity,0.25,1297.761,1423.9376861111111,7.0,931.1302499999999,,36,36
202511201004,zero_gravity,0.7428571428571429,865.6523,904.7768199999999,7.0,517.1577,,35,33
202511201020,gravity,0.7777777777777778,1024.55495,1136.123808333333,6.861111111111111,599.98535,0.546875,36,36
202511201020,zero_gravity,0.75,1274.2640000000001,1362.600836111111,7.0,613.71045,,36,36
202511201417,gravity,0.6111111111111112,816.78125,868.3257611111111,5.888888888888889,591.6686,0.5568181818181818,36,36
202511201417,zero_gravity,0.6666666666666666,782.8119,837.0683555555556,6.833333333333333,765.8528,0.4375,36,36
202511201419,gravity,0.7941176470588235,982.8513,1261.8628852941176,6.352941176470588,882.29845,0.5317460317460317,34,34
202511201419,zero_gravity,0.5555555555555556,1232.5075,1332.3646722222222,5.527777777777778,841.3052,0.5906250000000001,36,36
202511201440,gravity,0.7878787878787878,1366.137,1529.625381818182,5.878787878787879,1383.22,0.7967032967032966,33,33
202511201440,zero_gravity,0.6666666666666666,1674.8865,1875.350211111111,5.222222222222222,1499.981,0.6770833333333334,36,36
202511201634,gravity,0.46875,1674.2135,1740.372215625,5.419354838709677,1383.077,0.5168067226890757,32,31
202511201634,zero_gravity,0.38235294117647056,1690.9555,1655.6263352941178,5.545454545454546,1466.659,0.47692307692307695,34,33
202511201635,gravity,0.9166666666666666,799.6029,783.250925,6.833333333333333,524.41605,0.6666666666666667,36,36
202511201635,zero_gravity,0.7714285714285715,850.2034,906.0710571428572,7.0,450.1648,,35,35
202511201640,gravity,0.6,1096.862,1298.1683714285714,7.0,432.7871,,35,35
202511201640,zero_gravity,0.6111111111111112,1141.1925,1162.5965777777778,7.0,366.2821,,36,36
202511210958,gravity,0.7941176470588235,1541.9085,1639.774961764706,5.517241379310345,1650.396,0.3208333333333333,34,29
202511210958,zero_gravity,0.7777777777777778,1657.882,1710.199536111111,4.65625,1824.31,0.6257142857142857,36,32
202511211007,gravity,0.5714285714285714,1066.363,1203.012765714286,4.942857142857143,983.2119,0.35333333333333333,35,35
202511211007,zero_gravity,0.45714285714285713,1166.023,1295.2960371428574,4.371428571428571,1032.165,0.44243421052631576,35,35
202511211421,gravity,0.5714285714285714,1116.282,1251.8060142857141,5.647058823529412,1183.3515000000002,0.42500000000000004,35,34
202511211421,zero_gravity,0.6111111111111112,1091.3685,1212.172086111111,6.0,782.7742000000001,0.44318181818181823,36,36
202511211426,gravity,0.5,1191.9665,1447.620605882353,6.90625,841.34535,0.4980392156862745,34,32
202511211426,zero_gravity,0.5454545454545454,1082.481,1323.324912121212,7.0,665.9167,,33,31
202511211610,gravity,0.6666666666666666,1250.104,1363.4464166666667,6.388888888888889,615.62415,0.6770833333333335,36,36
