representation,condition,dyad,n_participants,s_support,i_support_total,mean_normalized_i_support
event,gravity,ball->ball,269,1.0,92966,0.7573075653321939
event,gravity,ball->position,269,1.0,10923,0.09181256668740716
event,gravity,position->ball,269,1.0,10924,0.09176953509216584
event,gravity,position->position,269,0.9925650557620818,7461,0.05911033288823302
event,zero_gravity,ball->ball,269,1.0,78324,0.6341194430638827
event,zero_gravity,ball->position,269,1.0,14440,0.12269008536657093
event,zero_gravity,position->ball,269,1.0,14436,0.12260732584821715
event,zero_gravity,position->position,269,0.9962825278810409,14829,0.1205831457213292
duration,gravity,ball_LONG->ball_LONG,269,1.0,22811,0.18506570153219057
duration,gravity,ball_LONG->ball_MED,269,1.0,22369,0.1823096091928636
duration,gravity,ball_LONG->position_LONG,269,0.9851301115241635,3228,0.02800413852808923
duration,gravity,ball_LONG->position_MED,269,1.0,3380,0.028470973614446823
duration,gravity,ball_MED->ball_LONG,269,1.0,23016,0.18857661153946872
duration,gravity,ball_MED->ball_MED,269,1.0,24770,0.2013556430676711
duration,gravity,ball_MED->position_LONG,269,0.9628252788104089,1819,0.01503420093805267
duration,gravity,ball_MED->position_MED,269,0.9962825278810409,2496,0.020303253606818436
duration,gravity,position_LONG->ball_LONG,269,0.9851301115241635,2971,0.024932461209095046
duration,gravity,position_LONG->ball_MED,269,0.9851301115241635,2374,0.019897178964529885
duration,gravity,position_LONG->position_LONG,269,0.8178438661710037,1554,0.012273688421430595
duration,gravity,position_LONG->position_MED,269,0.8996282527881041,1673,0.013618286828738686
duration,gravity,position_MED->ball_LONG,269,0.9962825278810409,2955,0.025095732908043733
duration,gravity,position_MED->ball_MED,269,0.9962825278810409,2624,0.021844162010497176
duration,gravity,position_MED->position_LONG,269,0.9107806691449815,1983,0.015551621286571827
duration,gravity,position_MED->position_MED,269,0.9479553903345725,2251,0.01766673635149192
duration,zero_gravity,ball_LONG->ball_LONG,269,1.0,17018,0.13688417422786137
duration,zero_gravity,ball_LONG->ball_MED,269,1.0,18485,0.1494055963898373
duration,zero_gravity,ball_LONG->position_LONG,269,0.9888475836431226,4946,0.042176161735287834
duration,zero_gravity,ball_LONG->position_MED,269,1.0,3812,0.031917148072757355
duration,zero_gravity,ball_MED->ball_LONG,269,1.0,19907,0.1618202560506575
duration,zero_gravity,ball_MED->ball_MED,269,1.0,22914,0.18600941639552654
duration,zero_gravity,ball_MED->position_LONG,269,0.9888475836431226,2851,0.02464721900817285
duration,zero_gravity,ball_MED->position_MED,269,1.0,2831,0.0239495565503529
duration,zero_gravity,position_LONG->ball_LONG,269,0.9925650557620818,4073,0.03429015888517622
duration,zero_gravity,position_LONG->ball_MED,269,0.9962825278810409,3607,0.03142108014531762
duration,zero_gravity,position_LONG->position_LONG,269,0.9405204460966543,4230,0.03414651557652375
duration,zero_gravity,position_LONG->position_MED,269,0.9442379182156134,3660,0.029854897893509577
duration,zero_gravity,position_MED->ball_LONG,269,1.0,3210,0.02695643012224773
duration,zero_gravity,position_MED->ball_MED,269,1.0,3546,0.029939656695475603
duration,zero_gravity,position_MED->position_LONG,269,0.966542750929368,3545,0.02882348397907532
duration,zero_gravity,position_MED->position_MED,269,0.9776951672862454,3394,0.027758248272220558
