respondent_id,completion_time_seconds,q01_original_q02_rules_understanding,q02_original_q02_task_engagement,q03_original_q02_non_target_ball_attention,q04_original_q02_ball_size_attention,q05_original_q03_harder_condition,q06_original_q04_response_strategy,q07_original_q13_gravity_understanding,q08_original_q14_zero_gravity_understanding,q09_original_q15_judgment_basis,q10_original_q16_perceived_motion,q11_original_q17_post_confidence_adjustment,q12_original_q18_confidence_seriousness
P001,272,Somewhat matches,Somewhat matches,Somewhat does not match,Neutral,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Post-collision motion trend,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Often
P002,6576,Strongly matches,Strongly matches,Somewhat matches,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision under zero or microgravity; downward gravity need not be considered,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,Downward gravity or acceleration|Post-collision motion trend|Relationship between the two ball sizes,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Sometimes,Sometimes
P003,5555,Somewhat does not match,Somewhat matches,Somewhat does not match,Somewhat matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Post-collision motion trend|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Often
P004,271,Strongly matches,Somewhat matches,Neutral,Somewhat matches,Gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Post-collision motion trend|Candidate landing positions and distance|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Often
P005,229,Neutral,Somewhat does not match,Somewhat matches,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Often
P006,342,Somewhat matches,Somewhat matches,Neutral,Strongly matches,Gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Pre-collision direction and speed|Downward gravity or acceleration|Candidate landing positions and distance,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Often
P007,3010,Neutral,Neutral,Somewhat does not match,Somewhat matches,Gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Post-collision motion trend|Candidate landing positions and distance,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Often
P008,4471,Somewhat matches,Strongly matches,Somewhat matches,Strongly matches,Gravity,Take more time to ensure accuracy,"2D plane motion after collision, like billiards",Abstract motion unrelated to a physical scene,Post-collision motion trend|Candidate landing positions and distance,I thought the balls in both conditions were affected by gravity,Often,Almost every time
P009,5808,Neutral,Somewhat matches,Somewhat does not match,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Almost every time
P010,276,Somewhat matches,Neutral,Somewhat does not match,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Almost every time
P011,4573,Strongly matches,Strongly matches,Strongly does not match,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Post-collision motion trend|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Almost every time
P012,339,Neutral,Neutral,Somewhat does not match,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Relationship between the two ball sizes|Patterns or experience from previous trials,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Sometimes
P013,4718,Strongly matches,Strongly matches,Strongly does not match,Somewhat matches,Gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Post-collision motion trend,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Often
P014,205,Somewhat does not match,Neutral,Neutral,Neutral,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,Abstract motion unrelated to a physical scene,Relationship between the two ball sizes|Intuition or guess,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Often
P015,188,Neutral,Neutral,Neutral,Neutral,Gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,Pre-collision direction and speed|Post-collision motion trend|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Often
P016,4403,Somewhat matches,Somewhat matches,Strongly matches,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Post-collision motion trend|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Almost every time
P017,4583,Neutral,Neutral,Somewhat does not match,Strongly matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,Abstract motion unrelated to a physical scene,Downward gravity or acceleration|Post-collision motion trend|Relationship between the two ball sizes,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Sometimes,Often
P018,331,Somewhat does not match,Somewhat matches,Neutral,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Candidate landing positions and distance,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Sometimes
P019,380,Strongly matches,Strongly matches,Strongly does not match,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Post-collision motion trend|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Almost every time
P020,816,Somewhat matches,Somewhat matches,Somewhat matches,Somewhat does not match,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Post-collision motion trend|Patterns or experience from previous trials,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Almost every time
P021,3570,Neutral,Somewhat matches,Strongly does not match,Somewhat matches,Zero gravity,Answer quickly but risk errors,"2D plane motion after collision, like billiards",Abstract motion unrelated to a physical scene,Downward gravity or acceleration|Candidate landing positions and distance|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Often
P022,235,Neutral,Neutral,Neutral,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Candidate landing positions and distance|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Sometimes
P023,4779,Neutral,Somewhat matches,Somewhat does not match,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Candidate landing positions and distance|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Often
P024,382,Somewhat does not match,Strongly matches,Somewhat does not match,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision under zero or microgravity; downward gravity need not be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Post-collision motion trend|Candidate landing positions and distance|Relationship between the two ball sizes,I thought the balls in neither condition were affected by gravity,Often,Almost every time
P025,277,Strongly does not match,Somewhat does not match,Strongly does not match,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Post-collision motion trend|Relationship between the two ball sizes|Intuition or guess,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Never,Often
P026,239,Somewhat matches,Somewhat matches,Somewhat does not match,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Often
P027,618,Somewhat matches,Somewhat matches,Neutral,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Pre-collision direction and speed|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Often
P028,301,Neutral,Somewhat matches,Neutral,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Post-collision motion trend|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Often
P029,188,Somewhat matches,Somewhat matches,Somewhat does not match,Strongly matches,Gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Candidate landing positions and distance|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Never,Almost every time
P030,371,Somewhat matches,Somewhat matches,Neutral,Strongly matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Post-collision motion trend|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Often
P031,253,Strongly does not match,Neutral,Strongly does not match,Strongly matches,Gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Candidate landing positions and distance|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Often
P032,390,Somewhat matches,Somewhat matches,Neutral,Strongly matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Often
P033,230,Somewhat matches,Somewhat matches,Neutral,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Post-collision motion trend|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Often
P034,215,Strongly does not match,Neutral,Somewhat does not match,Somewhat does not match,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Patterns or experience from previous trials,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Sometimes
P035,614,Strongly matches,Strongly matches,Somewhat matches,Neutral,Gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Candidate landing positions and distance|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Often
P036,291,Strongly matches,Somewhat matches,Somewhat matches,Somewhat matches,Gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Candidate landing positions and distance|Relationship between the two ball sizes|Patterns or experience from previous trials,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Often
P037,394,Somewhat matches,Somewhat matches,Somewhat does not match,Somewhat does not match,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Post-collision motion trend|Candidate landing positions and distance,I did not clearly perceive different motion rules between the two conditions,Never,Often
P038,257,Strongly matches,Strongly matches,Somewhat matches,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,Abstract motion unrelated to a physical scene,Pre-collision direction and speed|Post-collision motion trend,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Sometimes,Often
P039,278,Somewhat does not match,Neutral,Somewhat matches,Strongly matches,Zero gravity,Answer quickly but risk errors,"2D plane motion after collision, like billiards","2D plane motion after collision, like billiards",Pre-collision direction and speed|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Almost every time
